period,s_no,asi_circle,monument,domestic_visitors,foreign_visitors,total_visitors
2022-23,70,Rajkot,"Baba Pyara Caves, 2895 11 3323 24 14.78 118.18 Junagadh & Khaprakodia Caves Junagadh Total",31919.0,186.0,32105.0
2022-23,71,Vadodara,Champaner,65547.0,806.0,66353.0
2022-23,72,Vadodara,"Sun Temple,",379560.0,24166.0,403726.0
2022-23,73,Vadodara,"Rani Ki- Vav, Patan",351767.0,2247.0,354014.0
2022-23,74,Vadodara,"Rudabai Step 378847 8090 277021 7890 -26.88 -2.47 Well, Adalaj Total",1166835.0,32056.0,1198891.0
2022-23,75,Bhubaneswar,"Sun Temple,",2405307.0,3608.0,2408915.0
2022-23,76,Bhubaneswar,Ancient Remains,469058.0,1724.0,470782.0
2022-23,77,Bhubaneswar,Rajarani Temple,36420.0,644.0,37064.0
2022-23,78,Bhubaneswar,The Hill Containing,32742.0,293.0,33035.0
2022-23,79,Bhubaneswar,"Ruins of Buddhist 41188 399 52329 454 27.05 13.78 Temples and Images, Lalitgiri Total",2979574.0,6538.0,2986112.0
2022-23,80,Aurangabad,Ajanta Caves,401086.0,10437.0,411523.0
2022-23,81,Aurangabad,Ellora Caves,1437560.0,12464.0,1450024.0
2022-23,82,Aurangabad,Tomb of Rabia,1183263.0,5606.0,1188869.0
2022-23,83,Aurangabad,Daulatabad Fort,516144.0,2565.0,518709.0
2022-23,84,Aurangabad,"Pandulena Caves,",170146.0,795.0,170941.0
2022-23,85,Aurangabad,Aurangabad Caves 132518 1495 126327 1609 -4.67 7.63 Total,3823699.0,32719.0,3856418.0
2022-23,86,Mumbai,Elephanta Caves,464428.0,13368.0,477796.0
2022-23,87,Mumbai,"Buddhist Caves,",327250.0,6063.0,333313.0
2022-23,88,Mumbai,Shaniwarw ada,1079741.0,4899.0,1084640.0
2022-23,89,Mumbai,Aga Khan Palace,187407.0,3121.0,190528.0
2022-23,90,Mumbai,"Cave, Temple and",404079.0,391.0,404470.0
2022-23,91,Mumbai,"Caves, Temples and",301392.0,2170.0,303562.0
2022-23,92,Mumbai,"Cave, Temple &",89302.0,517.0,89819.0
2022-23,93,Mumbai,Raigad Fort,297029.0,97.0,297126.0
2022-23,94,Mumbai,"Kolaba Fort,",43176.0,128.0,43304.0
2022-23,95,Mumbai,"Old Fort, Sholapur",35485.0,32.0,35517.0
2022-23,96,Mumbai,"Janjira Fort, Murd",276453.0,199.0,276652.0
2022-23,97,Mumbai,Kondiote Caves,43419.0,310.0,43729.0
2022-23,98,Mumbai,Lohgad Fort 136790 207 138327 323 1.12 56.04 Total,3825006.0,31829.0,3856835.0
2022-23,99,Nagpur,Gawilgarh Fort,22777.0,16.0,22793.0
2022-23,100,Nagpur,"Ancient Buddhist 3901 128 3552 92 -8.95 -28.13 Remains, comprising monstery stupa rock sculptures inscriptions etc mansar Total",26462.0,49.0,26511.0
2022-23,101,Chandigarh,Suraj Kund,12846.0,53.0,12899.0
2022-23,102,Chandigarh,Sheikj Chillis Tomb 74729 346 81589 217 9.18 -37.28 Total,83178.0,339.0,83517.0
2022-23,103,Delhi,Khan-I-Khana,4556.0,40.0,4596.0
2022-23,104,Delhi,Sultan Garhi Tomb,2110.0,4.0,2114.0
2022-23,105,Delhi,Tughlaqabad Fort,127556.0,619.0,128175.0
2022-23,106,Delhi,Red Fort,2214658.0,49060.0,2263718.0
2022-23,107,Delhi,Humayuns Tomb,1162360.0,100136.0,1262496.0
2022-23,108,Delhi,Qutub Minar,1767548.0,115247.0,1882795.0
2022-23,109,Delhi,Hauzkhas,62959.0,1027.0,63986.0
2022-23,110,Delhi,Jantar Mantar,268778.0,4673.0,273451.0
2022-23,111,Delhi,Safdarjung Tomb,142379.0,5967.0,148346.0
2022-23,112,Delhi,Kotla Firoz Shah,119053.0,648.0,119701.0
2022-23,113,Delhi,Purana Qila 261483 1727 192216 1600 -26.49 -7.35 Total,6470665.0,279866.0,6750531.0
2022-23,114,Guwahati,Ahom Raja’s,133792.0,151.0,133943.0
2022-23,115,Guwahati,Kareghar of Ahom,242553.0,554.0,243107.0
2022-23,116,Guwahati,Ranghar Pavillion,156804.0,519.0,157323.0
2022-23,117,Guwahati,Bishnudol Temple,7453.0,32.0,7485.0
